genus,alley_tree,sponsorship,height,trunk_circumference,crown_diameter
Maple,0,0,8.0,0.6912,6.0
Maple,0,0,8.0,0.6912,6.0
Oak,0,0,18.0,1.0996,2.0
Oak,1,0,9.0,1.0,2.0
Lime,1,0,7.0,0.377,3.0
Lime,1,0,8.0,0.8168000000000001,3.0
Lime,0,0,5.0,0.2,1.0
Maple,0,0,11.0,1.4,5.0
Oak,0,0,3.0,0.4084,1.0
Lime,0,0,6.0,0.377,3.0
Maple,0,0,7.0,0.6283,3.0
Maple,0,0,18.0,1.1,8.0
Lime,0,0,5.0,0.2,1.0
Birch,0,0,11.0,0.4711999999999999,3.5
Lime,1,0,21.0,2.8274,3.0
Rowan,0,0,5.0,0.2512999999999999,1.7
Maple,0,0,7.0,0.8168000000000001,5.0
Maple,0,0,6.0,0.57,5.0
Oak,0,0,22.0,1.3195,2.0
Lime,1,0,5.5,0.2512999999999999,1.5
Maple,0,0,8.0,0.6283,4.0
alnus,0,0,12.0,0.63,1.0
Oak,0,0,12.0,1.0,2.0
Ash,0,0,10.0,1.885,2.0
Lime,1,0,8.0,0.4397999999999999,4.0
Willow,0,0,7.0,0.8795999999999999,3.1500000000000004
Birch,0,0,12.0,0.82,5.2
pinus,0,0,25.0,2.3248,1.0
Cherry,0,0,11.0,1.0996,1.0
Maple,0,0,8.0,1.2566,4.5
Lime,1,0,8.0,0.9425,7.0
Willow,0,0,22.0,1.79,2.0
Lime,0,0,6.0,0.377,1.0
Maple,0,0,12.0,0.91,6.0
Willow,0,0,10.0,0.9425,3.1500000000000004
Ash,0,0,20.0,1.508,13.0
Lime,0,0,8.0,0.6283,4.0
Maple,1,0,9.0,0.75,5.0
Maple,1,0,9.0,0.75,5.0
malus,0,0,5.0,0.1885,1.2
Birch,0,0,27.0,1.7907,5.0
Cherry,1,0,6.0,0.3,2.2
Lime,0,0,6.0,0.4711999999999999,4.0
alnus,0,0,13.0,0.74,1.0
Poplar,0,0,18.0,1.0996,3.2
Birch,0,0,13.0,0.9425,5.0
Birch,0,0,18.0,1.2566,6.0
